city,size_sqft,rooms,bathroom,furnished,floor,rent
Pune,650,1,1,No,2,14000
Mumbai,900,2,2,Yes,5,42000
Delhi,750,2,2,No,3,21000
Bangalore,1100,3,2,Yes,7,38000
Pune,500,1,1,No,1,12000
Mumbai,1200,3,3,Yes,10,55000
Delhi,600,1,1,No,4,15000
Bangalore,950,2,2,Yes,6,31000
Mumbai,700,1,1,Yes,8,37000
Pune,1000,3,2,No,2,26000
Chennai,850,2,2,No,4,20000
Hyderabad,950,2,2,Yes,7,28000
Pune,720,2,1,Yes,3,18000
Delhi,780,2,2,No,2,19000
Bangalore,1050,3,2,Yes,6,36000
Hyderabad,1100,3,3,Yes,8,32000
Chennai,640,1,1,No,1,13000
Delhi,920,2,2,Yes,5,25000
Mumbai,1500,3,3,Yes,12,68000
Bangalore,700,1,1,No,2,20000
Pune,550,1,1,No,1,11500
Hyderabad,780,2,2,No,3,17500
Chennai,900,2,2,Yes,6,24000
Mumbai,1100,2,2,Yes,9,48000
